model,fold,target,R2,RMSE_log10,MAE_log10,within_2x_pct,within_5x_pct
M1_raw_independent,5,Vmax (nM s⁻¹),0.22745200200444338,1.0171117815309005,0.7210863498220323,47.05882352941176,64.70588235294117
M2_raw_chain,5,Km (mM),-0.3184799161331091,1.901945527319406,1.523987833593363,23.52941176470588,35.294117647058826
M2_raw_chain,5,Kcat (s⁻¹),0.23221927152908484,2.711858028595532,2.2908779119407705,0.0,0.0
M2_raw_chain,5,Vmax (nM s⁻¹),0.20434081432566176,1.0322133928280872,0.7128227037451667,35.294117647058826,70.58823529411765
M3_physics_independent,5,Km (mM),-0.3427566470476513,1.9193756040377516,1.5099983757109334,17.647058823529413,35.294117647058826
M3_physics_independent,5,Kcat (s⁻¹),0.43616208344571206,2.3239430701132595,1.7739913959175175,11.76470588235294,35.294117647058826
M3_physics_independent,5,Vmax (nM s⁻¹),0.2939046138615855,0.9723836235581889,0.7502025229593576,23.52941176470588,64.70588235294117
M4_full_physics_chain,5,Km (mM),-0.3427566470476511,1.9193756040377514,1.5099983757109332,17.647058823529413,35.294117647058826
M4_full_physics_chain,5,Kcat (s⁻¹),0.39404608863383583,2.4091738616617864,1.8306802771742423,17.647058823529413,35.294117647058826
M4_full_physics_chain,5,Vmax (nM s⁻¹),0.4087288901153664,0.8898140910350928,0.6920437681383874,35.294117647058826,70.58823529411765
A0_physics_no_arrhenius,5,Km (mM),-0.35470038410705285,1.9278930688417846,1.5342119256815387,17.647058823529413,35.294117647058826
A0_physics_no_arrhenius,5,Kcat (s⁻¹),0.44995198337961284,2.295348575575866,1.7371152644211134,17.647058823529413,41.17647058823529
A0_physics_no_arrhenius,5,Vmax (nM s⁻¹),0.14848157869882184,1.0678321025790325,0.8097636333324854,23.52941176470588,58.82352941176471
A1_physics_plus_activity_category,5,Km (mM),0.5387314594481301,1.1249629848981058,0.8084671289882033,11.76470588235294,64.70588235294117
A1_physics_plus_activity_category,5,Kcat (s⁻¹),0.33661976589612086,2.520749035572836,1.7979363235121755,17.647058823529413,29.411764705882355
A1_physics_plus_activity_category,5,Vmax (nM s⁻¹),0.5475715240233378,0.7783607270640664,0.5371272827440213,47.05882352941176,76.47058823529412
A2_physics_plus_arrhenius,5,Km (mM),-0.3427566470476513,1.9193756040377516,1.5099983757109334,17.647058823529413,35.294117647058826
A2_physics_plus_arrhenius,5,Kcat (s⁻¹),0.39404608863383583,2.4091738616617864,1.8306802771742425,17.647058823529413,35.294117647058826
A2_physics_plus_arrhenius,5,Vmax (nM s⁻¹),0.4087288901153663,0.8898140910350929,0.6920437681383874,35.294117647058826,70.58823529411765
A3_physics_plus_activity_and_arrhenius,5,Km (mM),0.5634986520642467,1.094344626017475,0.7915354393257377,17.647058823529413,64.70588235294117
